text_segment,n
AI,1340
AI PC,196
PC,152
iPhone,104
CES,103
NVIDIA,72
MIH,65
EPSON,63
COMPUTEX,61
GPU,58
Intel,58
ChatGPT,54
AMD,45
Lordstown,42
Google,40
NPU,39
CSP,35
SpaceX,35
Copilot,47
ESG,28
GB,28
Dell,25
GTC,23
CEO,22
EPS,21
MODELC,21
VISIONPRO,21
APMIC,20
PRO,20
VR,20
DEEPSEEK,19
IT,19
LLM,20
MODELB,19
TOPS,19
APP,18
APPLE,18
BLACKWELL,18
COREULTRA,18
ODM,18
ROG,18
CPU,17
TRENDFORCE,17
HP,16
MICROLED,16
AIOT,15
META,15
PEPPER,15
PROMAX,15
CDMS,14
