date_group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,雷虎,LORDSTOWN,安碁,智聯,陳冠如,張量,掌機,勵德,林鴻明,晶睿,鄭瑋勳,韓政達,泰坦號,軍用,顏伯勳,小虎隊,林政宏,楊應超,佳世達,快刀
2,連加恩,鄭崇華,宸曜,李國鼎,東芝,林志鴻,養殖,VISIONPRO,藥局,簡民智,鴻辰,簡宏諠,聖母院,航太系,MIH,COPILOT,EPSON,MWC,NUC,劉文雄
3,麻布台,川普,關稅,鴻呈,森大廈,維特,APMIC,高西淳夫,DEEPSEEK,簡忠正,美術館,王恒聰,加藤一郎,地主,戴正吳,CORRDIFF,TEAMLAB,均衡,黃識忠,開發案
