text_segment,n
AI,1340
機器人,467
伺服器,405
電動車,313
電腦,232
太空,206
衛星,203
AI PC,196
供應鏈,196
手機,193
醫療,193
軟體,192
模型,181
晶片,176
人形機器人,169
資料,162
雲端,160
PC,152
半導體,123
電競,100
零組件,62
數位轉型,29
