text_segment,n
鴻海,715
宏碁,322
華碩,281
輝達,243
蘋果,159
台積電,143
研華,133
台達,102
和碩,96
大立光,94
美超微,89
廣達,87
微軟,80
緯創,77
英業達,77
佳世達,75
NVIDIA,72
緯穎,69
EPSON,63
仁寶,60
Intel,58
雷虎,58
英特爾,56
友達,54
AMD,45
Google,40
安碁,28
法博,28
展碁,27
智聯,27
雲達,27
台智雲,26
戴爾,26
攸泰,26
Dell,25
宸曜,25
光寶,24
超微,24
信驊,22
晶睿,20
研信,7
和椿,2
